Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES)
Thika Road,Townhouse,1,1,70.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",116128999.91932444
Lavington,Apartment,1,1,41.37945628202633,En Suite,4000000.0
Kileleshwa,Apartment,1,1,64.87432362205195,En Suite,6900000.0
Kileleshwa,Apartment,2,2,138.0,En Suite,13500000.0
Kilimani,Apartment,1,1,70.0,En Suite,6900000.0
Dagoretti,Studio,1,1,23.11,Swimming Pool,2432000.0
Westlands,Land,2,2,120.0,"En Suite, SQ",12700000.0
Kilimani,Apartment,2,2,68.0,En Suite,7500000.0
Westlands,Land,1,1,55.0,"Swimming Pool, Rooftop",7800000.0
Karen,House,5,4,1533.880927003111,Garden,130000000.0
Westlands,Land,2,3,139.0,"En Suite, SQ",15300000.0
Westlands,Studio,1,1,43.0,"Swimming Pool, Gym",5900000.0
Westlands,Townhouse,2,1,138.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Rooftop, Electric Fence",73645287.71394871
Kileleshwa,Apartment,3,3,1791.0,"En Suite, SQ",22830000.0
Kileleshwa,Apartment,1,1,68.0,Swimming Pool,6900000.0
Kileleshwa,Apartment,5,6,367.0,"En Suite, SQ",41000000.0
Westlands,Land,1,1,60.0,Swimming Pool,7000000.0
Kilimani,Apartment,2,3,96.0,En Suite,12000000.0
Kilimani,Apartment,2,2,72.08154358819979,En Suite,6950000.0
Westlands,Land,1,1,292.652900642355,En Suite,6000000.0
Kiambu,House,4,5,1189.0166766287134,Garden,73000000.0
Karen,House,4,5,1472.8994217899224,Swimming Pool,85000000.0
Westlands,Land,2,2,180.16800185480105,En Suite,13000000.0
Westlands,Land,1,1,1345.8340723176248,En Suite,4900000.0
Kileleshwa,Apartment,3,3,1560.7743317393813,En Suite,24000000.0
Westlands,Land,2,2,145.3403137311934,En Suite,14500000.0
Westlands,Land,1,2,60.0,Swimming Pool,7000000.0
Westlands,Land,2,3,82.0,En Suite,11000000.0
Westlands,Land,1,2,57.0,Swimming Pool,5200000.0
Lavington,Apartment,2,3,91.0,En Suite,9500000.0
Kileleshwa,Townhouse,4,4,1791.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Electric Fence",116561038.09523807
Westlands,Land,1,1,1344.539200522753,En Suite,4000000.0
Kileleshwa,Apartment,4,5,343.8041489629999,En Suite,18000000.0
Lavington,Apartment,2,3,122.0,En Suite,10000000.0
Lavington,Apartment,1,2,64.0,Swimming Pool,6000000.0
Lavington,Apartment,1,2,64.0,Swimming Pool,5600000.0
Westlands,Land,2,3,132.0,En Suite,9900000.0
Westlands,Land,3,4,1912.2137767206032,"Swimming Pool, SQ",19500000.0
Roysambu,Apartment,1,1,497.40828526410274,En Suite,3300000.0
Lavington,Townhouse,5,6,1255.0579581033062,En Suite,135000000.0
Lavington,Townhouse,4,5,2334.5488912120495,En Suite,168000000.0
Lavington,Townhouse,6,7,2197.698839792292,En Suite,150000000.0
Lavington,Townhouse,5,5,742.6926661854172,En Suite,95000000.0
Lavington,Townhouse,5,5,1858.3182622879071,En Suite,160000000.0
Lavington,Townhouse,5,6,1784.9489688289427,En Suite,150000000.0
Lavington,Townhouse,6,7,1220.3649509894124,En Suite,86000000.0
Lavington,Townhouse,5,6,916.4409519359684,En Suite,85000000.0
Lavington,Townhouse,5,5,748.9977495187503,En Suite,90000000.0
Westlands,Land,5,6,2356.9097761363873,En Suite,350000000.0
Westlands,Townhouse,5,5,1337.4434466053642,En Suite,150000000.0
Lavington,House,9,9,2683.9674173881695,En Suite,350000000.0
Lavington,Townhouse,4,4,748.2502701474996,En Suite,58000000.0
Kileleshwa,Townhouse,4,4,963.805778772617,En Suite,76000000.0
Kileleshwa,Townhouse,4,5,867.3857279001983,En Suite,73000000.0
Lavington,Townhouse,5,5,769.4440888044649,En Suite,110000000.0
Nairobi,Apartment,2,2,1768.469853173307,En Suite,12000000.0
Westlands,Land,4,4,1676.1472062366392,En Suite,18000000.0
Nairobi,Apartment,3,4,446.7381379112728,En Suite,17000000.0
Lavington,Apartment,3,3,210.17854941038698,En Suite,11000000.0
Westlands,Townhouse,3,3,65.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",21432630.74229692
Westlands,Land,2,3,132.0,En Suite,10000000.0
Kilimani,Apartment,5,6,1299.5201223813053,En Suite,65000000.0
Kileleshwa,Apartment,1,1,60.11529886127463,Swimming Pool,5500000.0
Kilimani,Apartment,3,2,1254.7842963215535,En Suite,13700000.0
Lavington,Apartment,2,2,356.768210501094,En Suite,10700000.0
Westlands,Townhouse,2,3,132.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",75277923.02022977
Lavington,Apartment,2,3,124.0,En Suite,9900000.0
Lavington,Apartment,1,2,64.0,Swimming Pool,5500000.0
Westlands,Land,1,2,65.0,Swimming Pool,6000000.0
Kilimani,Apartment,3,3,132.0,En Suite,13900000.0
Lavington,Townhouse,2,3,142.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",68304214.68689644
Westlands,Land,5,6,2636.6084511363874,En Suite,185000000.0
Lavington,Villa,5,5,744.773654000307,En Suite,95000000.0
Kilimani,Apartment,2,2,1274.0,En Suite,13500000.0
Spring Valley,Townhouse,5,6,1019.3527924477974,"Garden, En Suite",110000000.0
Kilimani,Apartment,2,2,1192.0,En Suite,13200000.0
Westlands,Land,2,2,223.89168241035657,En Suite,12500000.0
Lavington,Apartment,3,3,404.34535066595595,En Suite,13000000.0
Kilimani,Apartment,2,2,1024.0,Swimming Pool,11300000.0
Lavington,Apartment,2,2,94.74348244319194,En Suite,9200000.0
Lavington,Apartment,1,1,64.16395562466052,En Suite,6500000.0
Lavington,Apartment,3,4,165.0,En Suite,15000000.0
Westlands,Land,2,3,122.0,En Suite,9800000.0
Kilimani,Apartment,2,2,226.63350185955642,En Suite,10500000.0
Westlands,Land,4,5,866.2035106976804,En Suite,21000000.0
Westlands,Land,1,1,5708.0,"Swimming Pool, Gym",5200000.0
Kileleshwa,Apartment,3,3,3020.0556076116204,En Suite,30000000.0
Lavington,Townhouse,1,1,5708.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",862845000.0
Kileleshwa,Apartment,2,2,128.0,Swimming Pool,12500000.0
Westlands,Land,2,1,8534.0,Swimming Pool,11690000.0
Westlands,Townhouse,1,1,128.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",439988796.999663
Westlands,Land,2,2,744.9404560259989,En Suite,11900000.0
Kileleshwa,Apartment,2,2,119.0,En Suite,11200000.0
Kileleshwa,Apartment,2,2,111.0,En Suite,10400000.0
Kilimani,Apartment,2,1,113.0,Swimming Pool,11200000.0
Westlands,Land,2,2,119.0,Swimming Pool,16600000.0
Westlands,Land,2,1,113.0,Swimming Pool,13200000.0
Westlands,Land,2,2,107.0,En Suite,14900000.0
Westlands,Townhouse,2,2,119.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",93209434.13791928
Westlands,Land,5,6,1338.5367859918113,En Suite,128000000.0
Westlands,Land,2,2,90.0,Swimming Pool,12900000.0
Kilimani,Apartment,1,1,65.0,Gym,6000000.0
Westlands,Land,1,1,58.0,Swimming Pool,8200000.0
Kilimani,Apartment,1,1,67.0,Gym,7200000.0
Kilimani,Apartment,2,1,97.0,Swimming Pool,9200000.0
Lavington,Apartment,2,1,90.0,Gym,9500000.0
Lavington,Apartment,1,1,60.0,Swimming Pool,6500000.0
Kilimani,Apartment,2,3,110.0,En Suite,11500000.0
Kilimani,Apartment,2,2,107.0,En Suite,11200000.0
Kilimani,Apartment,1,1,83.0,Swimming Pool,8700000.0
Kilimani,Apartment,1,1,61.0,Swimming Pool,6400000.0
Westlands,Land,3,3,158.0,"En Suite, SQ",19800000.0
Lavington,Apartment,3,3,1367.8199568404045,En Suite,21000000.0
Nairobi,Studio,1,1,23.11,En Suite,2432000.0
Westlands,Land,2,2,9007.479999999992,Swimming Pool,12000000.0
Westlands,Land,1,1,5962.0,Swimming Pool,7900000.0
Westlands,Land,1,1,5708.0,Swimming Pool,7600000.0
Westlands,Land,3,3,9007.479999999992,Swimming Pool,19000000.0
Westlands,Land,2,1,130.0,Swimming Pool,17200000.0
Westlands,Villa,5,5,950.6279014944805,En Suite,120000000.0
Westlands,Land,2,2,8267.0,Swimming Pool,11000000.0
Westlands,Land,2,1,109.0,Swimming Pool,13800000.0
Lavington,Townhouse,3,3,23.11,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",15247355.753968256
Westlands,Land,1,1,481.4086005903044,En Suite,8100000.0
Kilimani,Apartment,2,2,75.0,SQ,7500000.0
Westlands,Land,1,1,87.0,Swimming Pool,9950000.0
Westlands,Land,1,1,69.0,"Swimming Pool, Gym",7500000.0
Westlands,Studio,1,1,48.0,Swimming Pool,6900000.0
Karen,Townhouse,4,5,399.0,En Suite,80000000.0
Westlands,Land,2,1,113.0,Swimming Pool,11230000.0
Kileleshwa,Townhouse,3,3,75.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",16043715.873015873
Riverside,Townhouse,4,5,938.173623404923,SQ,120000000.0
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",1049999999.999963
Lavington,Townhouse,4,4,788.1168618349333,Garden,85000000.0
Riverside,Apartment,3,3,2637.412658631421,SQ,38000000.0
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",1049999999.999963
Westlands,Townhouse,4,4,1357.830161166342,"Swimming Pool, Garden",85000000.0
Industrial Area,Townhouse,1,5,56.0,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000.0
Lavington,Apartment,1,1,56.0,SQ,6300000.0
Lavington,Apartment,1,1,50.0,SQ,5800000.0
Lavington,Townhouse,5,5,769.4440888044649,Garden,110000000.0
Industrial Area,Townhouse,1,5,56.0,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000.0
Industrial Area,Townhouse,1,4,142.0,"Garden, Parking, Balcony, Generator, SQ",1049999999.999963
Kilimani,Apartment,3,3,142.0,SQ,14000000.0
Kilimani,Apartment,2,2,124.0,SQ,12500000.0
Kilimani,Apartment,2,2,112.0,SQ,11500000.0
Kilimani,Apartment,2,2,86.0,SQ,9500000.0
Kilimani,Apartment,1,1,64.0,SQ,7500000.0
Industrial Area,Townhouse,1,4,142.0,"Garden, Parking, Balcony, Generator, SQ",1049999999.999963
Industrial Area,Townhouse,1,5,100.0,"Garden, Parking, Balcony, CCTV, Generator, SQ",1049999999.999963
Kilimani,Apartment,2,2,100.0,SQ,9500000.0
Kilimani,Apartment,2,2,70.0,SQ,7500000.0
Kilimani,Apartment,1,1,60.0,SQ,5500000.0
Kilimani,Apartment,1,1,70.0,SQ,5800000.0
Kilimani,Apartment,2,2,107.0,SQ,8000000.0
Kilimani,Apartment,3,3,115.0,SQ,9800000.0
Kileleshwa,Apartment,3,3,140.0,SQ,13500000.0
Kileleshwa,Apartment,3,3,130.0,SQ,11000000.0
Lavington,Apartment,4,4,324.8776126840369,SQ,24000000.0
Kileleshwa,Apartment,4,4,211.0,SQ,23000000.0
Kileleshwa,Apartment,3,3,179.0,SQ,17000000.0
Nairobi,Townhouse,1,1,61.0,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Wi-Fi, Servant Quarter, SQ, Clubhouse, Playground, Gate, Intercom, Rooftop, Concierge, Jacuzzi, Store, Electric Fence",116163841.43447596
Lavington,House,1,1,61.0,"Swimming Pool, Gym, Garden, Parking, SQ, Rooftop, Concierge, Store",7059263.207434922
Kileleshwa,Apartment,4,4,250.0,"Parking, Borehole, Lift, Balcony, Generator, SQ, Jacuzzi",22663443.444241032
Nairobi,Townhouse,1,1,61.0,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Gate, Intercom, Rooftop, Concierge, Store, Laundry, Electric Fence",116163841.43447596
Ngong,Townhouse,3,3,215.0,"Garden, Parking, Solar, SQ, Gate, Laundry",36039286.41579859
Karen,Townhouse,5,5,450.0,"Swimming Pool, Garden, Parking, Security, Generator, Solar, SQ, Gate, Intercom, Laundry, Electric Fence",72621807.88326745
Kileleshwa,Apartment,2,2,150.0,"Swimming Pool, Gym, Parking, Lift, Balcony, SQ, Laundry",13413385.073626755
Westlands,Land,2,1,80.0,"Swimming Pool, Gym, Parking, Security, Lift, Balcony, CCTV, SQ, Intercom",9743955.882651538
Ngong Road,Commercial,4,4,246.0,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, SQ, Intercom",30383111.250620354
Nairobi West,Townhouse,4,4,2650.0,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Intercom, Laundry",161085800.0
Kasarani,Bungalow,3,2,9007.479999999992,"Parking, SQ, Gate",28662770.65409521
Westlands,Studio,2,2,68.0,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",8476779.144262016
Membley,Townhouse,4,5,9007.479999999992,"Parking, Gate, Rooftop, Laundry",644378573.3333334
Kilimani,Commercial,3,3,205.0,"Swimming Pool, Gym, Parking, Security, Lift, SQ, Rooftop",21633371.98514594
Westlands,Commercial,3,3,223.0,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Solar, SQ, Gate, Intercom, Rooftop, Laundry",20830731.08130279
Westlands,Villa,6,6,2023.4,"Swimming Pool, Garden, Parking, Security, Borehole, CCTV, Generator, Fibre, Servant Quarter, SQ, Gate, Lift",206418772.43589744
Westlands,Studio,1,1,68.0,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",8846568.800281769
Nairobi,Townhouse,4,44,9007.479999999992,"Parking, Generator",642597773.3333334
Nairobi,Townhouse,6,6,4046.9,Parking,668788917.5641025
Kitengela,Bungalow,3,4,464.0,"Garden, SQ, Gate",24219152.03665399
Kitengela,Bungalow,3,3,456.0,"Garden, Parking, SQ, Gate",19574521.024127025
Ngong,Maisonette,3,3,215.0,"Garden, Parking, Solar, SQ, Gate, Laundry",18450986.96067112
Karen,Land,4,5,2024.0,"Garden, SQ, Gate",74816448.33193615
Karen,Commercial,3,4,2024.0,"Garden, Parking, En Suite, Solar, SQ, Sauna",42895359.20212547
Westlands,Townhouse,5,7,2428.1,"Swimming Pool, Garden, Parking, Solar, SQ",165883940.0
Westlands,Land,1,1,67.0,"Swimming Pool, Gym, Garden, Parking, Security, CCTV, Generator, SQ, Rooftop",7362550.1887025405
Spring Valley,Townhouse,5,5,594.6,"Garden, Parking, Security, Borehole, Generator, Solar, SQ, Gate, Laundry",110155230.40506193
Kileleshwa,Studio,1,1,48.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",6680133.072228892
Kileleshwa,Apartment,1,1,63.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",7138626.342750895
Kileleshwa,Apartment,2,2,85.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",8867906.043595409
Lavington,Villa,5,5,557.4,"Swimming Pool, Gym, Parking, Security, Balcony, CCTV, Generator, Solar, SQ, Gate, Jacuzzi, Gazebo",148083248.63821772
Kileleshwa,Apartment,3,3,203.0,"Gym, SQ",16302363.643548679
Westlands,Land,3,3,175.0,"Gym, Parking, Generator, SQ, Rooftop",16186504.610206777
Athi River,Maisonette,3,3,160.0,"Garden, Parking, Security, Solar, SQ, Gate",18567840.595467888
Karen,Land,5,5,4046.9,"Garden, Balcony, Solar",207453841.6666667
Karen,Villa,5,6,3035.0,"Gym, Garden, Parking, Balcony, Solar, SQ, Gate, Rooftop",184591471.86147186
Lavington,Studio,1,1,66.0,"Swimming Pool, Gym, Garden, Parking, CCTV, SQ, Playground, Intercom, Laundry, Lift",6750267.539536583
Westlands,Land,2,2,95.0,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",12098679.825459396
Westlands,Studio,1,1,52.0,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, Solar, SQ, Intercom, Rooftop, Sauna, Lift",7097146.787089216
Nairobi,Bungalow,2,2,211.0,"Garden, Parking, SQ, Gate, Laundry",13576576.333950743
Kilimani,Land,3,3,150.0,"Swimming Pool, Gym, Garden, Parking, Borehole, En Suite, Servant Quarter, SQ, Gate, Store",16800000.0
Kilimani,Apartment,3,3,150.0,SQ,10800000.0
Kilimani,Apartment,2,2,87.0,SQ,9400000.0
Kileleshwa,Apartment,3,3,180.0,"Swimming Pool, Gym, Servant Quarter, SQ",23000000.0
Garden Estate,Land,6,7,450.0,"Garden, SQ",55000000.0
Roysambu,Apartment,2,2,4200.0,SQ,150000000.0
Nairobi,Apartment,2,2,5000.0,"Gym, SQ",10800000.0
Kileleshwa,Apartment,4,4,230.0,SQ,23000000.0
Kileleshwa,Apartment,1,1,59.80597061550723,SQ,5700000.0
Kileleshwa,Apartment,3,3,1298.6720999667157,"Parking, Borehole, Gate",22000000.0
Mirema,Apartment,1,1,5000.0,SQ,2500000.0
Runda,House,5,5,500.0,SQ,110000000.0
Zimmerman,Apartment,1,2,4200.0,SQ,150000000.0
Kasarani,Apartment,1,1,31.0,SQ,3500000.0
Kahawa,House,4,4,250.0,SQ,25000000.0
Kilimani,Apartment,3,3,135.0,"SQ, Store",14800000.0
Kilimani,Apartment,3,3,125.0,SQ,12000000.0
Roysambu,Apartment,3,3,134.0,SQ,14500000.0
Kileleshwa,Apartment,3,3,286.362417224474,Garden,14500000.0
Kasarani,Apartment,1,2,3200.0,SQ,65000000.0
Kilimani,Apartment,3,3,150.0,"En Suite, SQ",15000000.0
Nairobi,Apartment,3,10,90.0,SQ,5000000.0
Kileleshwa,Apartment,3,3,160.0,SQ,15500000.0
Valley Arcade,Townhouse,3,3,150.0,"Parking, Borehole, Lift, En Suite, Balcony, SQ, Gate",16500000.0
Kileleshwa,Apartment,3,3,170.0,SQ,19000000.0
Lavington,House,4,4,234.0,SQ,80000000.0
Karen,Maisonette,5,4,200.0,"Parking, SQ",95000000.0
Hurlingham,Apartment,3,3,171.0,"Lift, SQ",15000000.0
Lower Kabete,Studio,1,1,25.5,SQ,2432000.0
Nairobi,Land,3,3,900.0,SQ,10000000.0
Runda,Land,6,6,4500.0,SQ,150000000.0
Nairobi,House,3,10,450.0,SQ,7000000.0
South B,House,4,4,250.0,"En Suite, SQ",25000000.0
Kilimani,Studio,1,1,70.0,"SQ, Gate",4500000.0
Spring Valley,Villa,4,4,543.0,SQ,80000000.0
Upperhill,Apartment,3,10,80.0,SQ,7900000.0
Njiru,House,1,2,4080.0,SQ,55000000.0
Buruburu,Land,4,6,500.0,SQ,15000000.0
Westlands,Land,3,3,130.0,SQ,14450000.0
Embakasi,Land,1,5,500.0,SQ,70000000.0
Lavington,Villa,5,5,350.0,"SQ, Gate",55000000.0
Buruburu,Townhouse,4,5,260.0,SQ,15900000.0
Kilimani,Apartment,3,3,251.0,"Balcony, SQ",35000000.0
Valley Arcade,Townhouse,5,5,450.0,SQ,75000000.0
Kileleshwa,Apartment,3,3,269.66570246782373,"Borehole, Lift",13800000.0
Nairobi,Bungalow,2,2,100.0,SQ,2600000.0
Westlands,Villa,2,2,95.0,SQ,12600000.0
Syokimau,Maisonette,4,3,225.0,"Garden, Security, SQ, Gate, Store",15000000.0
Riverside,Apartment,4,4,280.0,"SQ, Gate",15000000.0
Kilimani,Apartment,1,1,60.0,SQ,7000000.0
Ongata Rongai,Maisonette,4,4,190.0,SQ,90000000.0
Membley,House,6,5,300.0,"Security, SQ",19500000.0
Kitisuru,Maisonette,5,6,986.0,SQ,277000000.0
Ngong Road,Apartment,2,2,56.0,SQ,5360000.0
Kahawa Wendani,Bedsitter,8,7,2005.0,SQ,150000000.0
Kasarani,Bedsitter,43,7,3370.0,SQ,65000000.0
Kasarani,Maisonette,4,4,400.0,SQ,12500000.0
South C,Bungalow,3,3,120.0,"SQ, Gate",11000000.0
Parklands,Land,3,3,200.0,SQ,12500000.0
South B,Maisonette,4,3,538.5098926565132,Gate,17500000.0
Ngong Road,Land,1,1,23.11,SQ,2432000.0
Runda,House,4,5,1000.0,SQ,120000000.0
Runda,Maisonette,4,4,429.0,SQ,42000000.0
Githurai,House,11,5,470.18950189701906,Store,20000000.0
Kileleshwa,Apartment,3,3,90.0,SQ,13800000.0
Westlands,Land,3,3,3000.0,"Garden, SQ",25380000.0
Kahawa,Apartment,4,4,105.0,SQ,8400000.0
Embakasi,Maisonette,4,6,300.0,SQ,9999999.0
Lavington,Commercial,2,3,90.0,SQ,9000000.0
Langata,House,4,4,246.0,SQ,38800000.0
Langata,Townhouse,4,2,170.0,"Gym, Parking, Lift, SQ, Gate, Store",26000000.0
Nairobi,Maisonette,4,4,297.0,SQ,14000000.0
Kileleshwa,Apartment,2,2,96.0,SQ,10987788.0
Parklands,Land,3,3,2800.0,SQ,21000000.0
Nairobi,Maisonette,5,4,500.0,"SQ, Gate",16000000.0
Embakasi,Apartment,3,5,135.0,SQ,8750000.0
Kilimani,House,3,3,204.0,SQ,29400000.0
Embakasi,Bungalow,4,6,450.0,"SQ, Gate",20000000.0
Lavington,House,1,1,60.0,SQ,7600000.0
Dagoretti,Bungalow,3,5,200.0,SQ,20000000.0
Kileleshwa,Bungalow,1,1,60.0,"Gym, Lift, SQ",7000000.0
Westlands,Land,3,10,64.0,SQ,6500000.0
Runda,House,4,4,380.0,SQ,120000000.0
Lower Kabete,Apartment,2,2,334.83758322882056,Lift,12500000.0
Dagoretti,Apartment,1,3,80.0,"Parking, SQ, Lift",6500000.0
Parklands,Land,3,3,190.0,SQ,14000000.0
Embakasi,Maisonette,3,5,250.0,SQ,9999999.0
Kahawa,Apartment,4,4,105.0,SQ,13000000.0
Nairobi,Bungalow,2,2,100.0,SQ,2600000.0
Karen,House,4,5,5000.0,SQ,80000000.0
Westlands,Land,2,2,270.0,SQ,13500000.0
Mwiki,Bungalow,3,10,2500.0,SQ,6200000.0
Valley Arcade,Townhouse,4,4,400.0,"SQ, Store",65000000.0
Kileleshwa,Maisonette,4,4,3530.0,SQ,155000000.0
Westlands,Townhouse,4,2,2500.0,"Swimming Pool, Garden, SQ, Gate",26500000.0
Lavington,Villa,5,4,557.0,"Swimming Pool, SQ",155000000.0
Parklands,Land,3,3,200.0,SQ,19500000.0
Hurlingham,Apartment,3,3,167.0,SQ,18000000.0
Nairobi,Apartment,2,2,95.0,SQ,8000000.0
Westlands,Land,3,3,200.0,SQ,28000000.0
Westlands,Land,1,1,58.0,SQ,7300000.0
Kilimani,Apartment,4,4,400.0,SQ,28000000.0
Dagoretti,Studio,1,2,24.0,SQ,2700000.0
Hurlingham,Apartment,2,3,102.0,SQ,10500000.0
Hurlingham,House,1,2,56.0,SQ,8800000.0
Imara Daima,Villa,2,1,79.30102938304105,Garden,4500000.0
Valley Arcade,Apartment,4,4,400.0,SQ,16000000.0
Kilimani,Apartment,2,2,185.0,SQ,11000000.0
Ruiru,Maisonette,4,4,262.0,SQ,20500000.0
